Sample,Family,Genus,Species,Count
MF-GB019,Urolophidae,Trygonoptera,ovalis,1
MF-GB019,Rhinobatidae,Trygonorrhina,fasciata,2
MF-GB019,Mullidae,Upeneichthys,vlamingii,11
MF-GB036,Labridae,Bodianus,frenchii,1
MF-GB036,Pomacentridae,Chromis,klunzingeri,3
MF-GB036,Labridae,Coris,auricularis,6
MF-GB036,Dasyatidae,Dasyatis,brevicaudata,1
MF-GB036,Heterodontidae,Heterodontus,portusjacksoni,1
MF-GB036,Monacanthidae,Meuschenia,flavolineata,1
MF-GB036,Monacanthidae,Meuschenia,galii,1
MF-GB036,Myliobatidae,Myliobatis,australis,2
MF-GB036,Scorpididae,Neatypus,obliquus,2
MF-GB036,Labridae,Notolabrus,parilus,3
MF-GB036,Labridae,Ophthalmolepis,lineolatus,6
MF-GB036,Pomacentridae,Parma,mccullochi,1
MF-GB036,Carangidae,Pseudocaranx,spp,5
MF-GB036,Labridae,Pseudolabrus,biserialis,4
MF-GB036,Carangidae,Seriola,hippos,1
MF-GB036,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB036,Mullidae,Upeneichthys,vlamingii,2
MF-GB037,Labridae,Coris,auricularis,3
MF-GB037,Scorpididae,Neatypus,obliquus,3
MF-GB037,Labridae,Notolabrus,parilus,1
MF-GB037,Labridae,Ophthalmolepis,lineolatus,6
MF-GB037,Gerreidae,Parequula,melbournensis,2
MF-GB037,Carangidae,Pseudocaranx,spp,8
MF-GB037,Labridae,Pseudolabrus,biserialis,1
MF-GB037,Monacanthidae,Scobinichthys,granulatus,1
MF-GB037,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB037,Mullidae,Upeneichthys,vlamingii,7
MF-GB043,Monacanthidae,Acanthaluteres,spilomelanurus,2
MF-GB043,Labridae,Coris,auricularis,3
MF-GB043,Myliobatidae,Myliobatis,australis,1
MF-GB043,Labridae,Ophthalmolepis,lineolatus,1
MF-GB043,Gerreidae,Parequula,melbournensis,4
MF-GB043,Monacanthidae,Scobinichthys,granulatus,2
MF-GB043,Carangidae,Seriola,hippos,1
MF-GB043,Carangidae,Trachurus,novaezelandiae,72
MF-GB043,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB043,Mullidae,Upeneichthys,vlamingii,1
MF-GB044,Ostraciidae,Anoplocapros,amygdaloides,1
MF-GB044,Labridae,Coris,auricularis,2
MF-GB044,Cheilodactylidae,Dactylophora,nigricans,1
MF-GB044,Myliobatidae,Myliobatis,australis,2
MF-GB044,Monacanthidae,Nelusetta,ayraudi,2
MF-GB044,Gerreidae,Parequula,melbournensis,5
MF-GB044,Carangidae,Pseudocaranx,spp,13
MF-GB044,Rhinobatidae,Trygonorrhina,fasciata,2
MF-GB047,Diodontidae,Allomycterus,pilatus,1
MF-GB047,Pomacentridae,Chromis,klunzingeri,10
MF-GB047,Labridae,Coris,auricularis,10
MF-GB047,Enoplosidae,Enoplosus,armatus,2
MF-GB047,Heterodontidae,Heterodontus,portusjacksoni,2
MF-GB047,Myliobatidae,Myliobatis,australis,1
MF-GB047,Scorpididae,Neatypus,obliquus,1
MF-GB047,Labridae,Notolabrus,parilus,2
MF-GB047,Labridae,Ophthalmolepis,lineolatus,2
MF-GB047,Gerreidae,Parequula,melbournensis,1
MF-GB047,Pempherididae,Pempheris,klunzingeri,1
MF-GB047,Carangidae,Pseudocaranx,spp,12
MF-GB047,Labridae,Pseudolabrus,biserialis,3
MF-GB047,Monacanthidae,Scobinichthys,granulatus,1
MF-GB047,Carangidae,Trachurus,novaezelandiae,1
MF-GB047,Rhinobatidae,Trygonorrhina,fasciata,2
MF-GB047,Mullidae,Upeneichthys,vlamingii,3
MF-GB057,Pomacentridae,Chromis,klunzingeri,2
MF-GB057,Labridae,Coris,auricularis,5
MF-GB057,Myliobatidae,Myliobatis,australis,2
MF-GB057,Labridae,Ophthalmolepis,lineolatus,2
MF-GB057,Gerreidae,Parequula,melbournensis,3
MF-GB057,Labridae,Pseudolabrus,biserialis,2
MF-GB057,Urolophidae,Trygonoptera,personata,1
MF-GB057,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB057,Mullidae,Upeneichthys,vlamingii,8
MF-GB058,Labridae,Coris,auricularis,10
MF-GB058,Myliobatidae,Myliobatis,australis,1
MF-GB058,Labridae,Notolabrus,parilus,1
MF-GB058,Gerreidae,Parequula,melbournensis,2
MF-GB058,Labridae,Pseudolabrus,biserialis,3
MF-GB058,Carangidae,Seriola,hippos,1
MF-GB058,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB058,Mullidae,Upeneichthys,vlamingii,1
MF-GB061,Monacanthidae,Acanthaluteres,spilomelanurus,4
MF-GB061,Labridae,Coris,auricularis,1
MF-GB061,Heterodontidae,Heterodontus,portusjacksoni,1
MF-GB061,Monacanthidae,Meuschenia,venusta,3
MF-GB061,Myliobatidae,Myliobatis,australis,1
MF-GB061,Monacanthidae,Nelusetta,ayraudi,17
MF-GB061,Labridae,Ophthalmolepis,lineolatus,1
MF-GB061,Gerreidae,Parequula,melbournensis,30
MF-GB061,Carangidae,Pseudocaranx,spp,7
MF-GB061,Monacanthidae,Scobinichthys,granulatus,1
MF-GB061,Rhinobatidae,Trygonorrhina,fasciata,2
MF-GB064,Monacanthidae,Acanthaluteres,spilomelanurus,10
MF-GB064,Labridae,Coris,auricularis,2
MF-GB064,Cheilodactylidae,Dactylophora,nigricans,1
MF-GB064,Dasyatidae,Dasyatis,brevicaudata,1
MF-GB064,Myliobatidae,Myliobatis,australis,1
MF-GB064,Gerreidae,Parequula,melbournensis,5
MF-GB064,Pempherididae,Pempheris,klunzingeri,100
MF-GB064,Carangidae,Seriola,hippos,2
MF-GB064,Carangidae,Trachurus,novaezelandiae,1
MF-GB064,Rhinobatidae,Trygonorrhina,fasciata,2
MF-GB064,Mullidae,Upeneichthys,vlamingii,1
MF-GB074,Labridae,Choerodon,rubescens,1
MF-GB074,Labridae,Coris,auricularis,4
MF-GB074,Cheilodactylidae,Dactylophora,nigricans,1
MF-GB074,Oplegnathidae,Oplegnathus,woodwardi,1
MF-GB074,Sparidae,Pagrus,auratus,2
MF-GB074,Gerreidae,Parequula,melbournensis,6
MF-GB074,Carangidae,Pseudocaranx,spp,2
MF-GB074,Carangidae,Seriola,hippos,1
MF-GB074,Urolophidae,Trygonoptera,ovalis,1
MF-GB074,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB077,Monacanthidae,Acanthaluteres,spilomelanurus,1
MF-GB077,Myliobatidae,Myliobatis,australis,1
MF-GB077,Scorpididae,Neatypus,obliquus,1
MF-GB077,Monacanthidae,Nelusetta,ayraudi,8
MF-GB077,Orectolobidae,Orectolobus,ornatus,1
MF-GB077,Gerreidae,Parequula,melbournensis,13
MF-GB077,Platycephalidae,Platycephalus,spp,1
MF-GB077,Carangidae,Pseudocaranx,spp,7
MF-GB077,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB077,Mullidae,Upeneichthys,vlamingii,1
MF-GB080,Monacanthidae,Acanthaluteres,spilomelanurus,10
MF-GB080,Labridae,Coris,auricularis,2
MF-GB080,Cheilodactylidae,Dactylophora,nigricans,1
MF-GB080,Myliobatidae,Myliobatis,australis,1
MF-GB080,Scorpididae,Neatypus,obliquus,1
MF-GB080,Labridae,Notolabrus,parilus,1
MF-GB080,Labridae,Ophthalmolepis,lineolatus,3
MF-GB080,Gerreidae,Parequula,melbournensis,50
MF-GB080,Carangidae,Pseudocaranx,spp,1
MF-GB080,Monacanthidae,Scobinichthys,granulatus,1
MF-GB080,Carangidae,Trachurus,novaezelandiae,2
MF-GB080,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB080,Mullidae,Upeneichthys,vlamingii,1
MF-GB091,Monacanthidae,Acanthaluteres,spilomelanurus,1
MF-GB091,Monacanthidae,Meuschenia,freycineti,1
MF-GB091,Myliobatidae,Myliobatis,australis,1
MF-GB091,Monacanthidae,Nelusetta,ayraudi,9
MF-GB091,Gerreidae,Parequula,melbournensis,5
MF-GB091,Platycephalidae,Platycephalus,spp,3
MF-GB091,Carangidae,Pseudocaranx,spp,11
MF-GB091,Sillaginidae,Sillago,spp,7
MF-GB091,Carangidae,Trachurus,novaezelandiae,50
MF-GB091,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB091,Zeidae,Zeus,faber,1
MF-GB101,Labridae,Achoerodus,gouldii,1
MF-GB101,Labridae,Coris,auricularis,3
MF-GB101,Cheilodactylidae,Dactylophora,nigricans,2
MF-GB101,Heterodontidae,Heterodontus,portusjacksoni,1
MF-GB101,Myliobatidae,Myliobatis,australis,2
MF-GB101,Monacanthidae,Nelusetta,ayraudi,2
MF-GB101,Labridae,Ophthalmolepis,lineolatus,1
MF-GB101,Gerreidae,Parequula,melbournensis,9
MF-GB101,Carangidae,Pseudocaranx,spp,1
MF-GB101,Carangidae,Seriola,hippos,1
MF-GB101,Urolophidae,Trygonoptera,ovalis,1
MF-GB101,Rhinobatidae,Trygonorrhina,fasciata,3
MF-GB101,Mullidae,Upeneichthys,vlamingii,6
MF-GB104,Monacanthidae,Acanthaluteres,spilomelanurus,2
MF-GB104,Myliobatidae,Myliobatis,australis,1
MF-GB104,Monacanthidae,Nelusetta,ayraudi,23
MF-GB104,Gerreidae,Parequula,melbournensis,3
MF-GB104,Carangidae,Pseudocaranx,spp,5
MF-GB104,Monacanthidae,Scobinichthys,granulatus,1
MF-GB104,Sillaginidae,Sillaginodes,punctata,4
MF-GB104,Sillaginidae,Sillago,spp,2
MF-GB104,Carangidae,Trachurus,novaezelandiae,50
MF-GB104,Rhinobatidae,Trygonorrhina,fasciata,2
MF-GB104,Mullidae,Upeneichthys,vlamingii,1
MF-GB109,Ostraciidae,Aracana,aurita,1
MF-GB109,Tetraodontidae,Contusus,brevicaudus,1
MF-GB109,Monacanthidae,Nelusetta,ayraudi,20
MF-GB109,Gerreidae,Parequula,melbournensis,3
MF-GB109,Platycephalidae,Platycephalus,spp,2
MF-GB109,Carangidae,Pseudocaranx,spp,25
MF-GB109,Monacanthidae,Scobinichthys,granulatus,1
MF-GB109,Carangidae,Seriola,hippos,1
MF-GB109,Sillaginidae,Sillaginodes,punctata,2
MF-GB109,Carangidae,Trachurus,novaezelandiae,6
MF-GB109,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB109,Mullidae,Upeneichthys,vlamingii,2
MF-GB112,Ostraciidae,Anoplocapros,amygdaloides,1
MF-GB112,Dasyatidae,Dasyatis,brevicaudata,1
MF-GB112,Monacanthidae,Nelusetta,ayraudi,5
MF-GB112,Gerreidae,Parequula,melbournensis,6
MF-GB112,Carangidae,Pseudocaranx,spp,6
MF-GB112,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB113,Labridae,Bodianus,frenchii,1
MF-GB113,Labridae,Coris,auricularis,2
MF-GB113,Dasyatidae,Dasyatis,brevicaudata,1
MF-GB113,Serranidae,Epinephelides,armatus,1
MF-GB113,Scorpididae,Neatypus,obliquus,2
MF-GB113,Cheilodactylidae,Nemadactylus,valenciennesi,1
MF-GB113,Labridae,Notolabrus,parilus,1
MF-GB113,Orectolobidae,Orectolobus,ornatus,1
MF-GB113,Sparidae,Pagrus,auratus,1
MF-GB113,Carangidae,Pseudocaranx,spp,10
MF-GB113,Labridae,Pseudolabrus,biserialis,4
MF-GB113,Carangidae,Seriola,hippos,1
MF-GB113,Rhinobatidae,Trygonorrhina,fasciata,2
MF-GB126,Dasyatidae,Dasyatis,brevicaudata,2
MF-GB126,Labridae,Ophthalmolepis,lineolatus,1
MF-GB126,Gerreidae,Parequula,melbournensis,13
MF-GB126,Carangidae,Seriola,hippos,2
MF-GB126,Carangidae,Trachurus,novaezelandiae,8
MF-GB128,Monacanthidae,Nelusetta,ayraudi,2
MF-GB128,Gerreidae,Parequula,melbournensis,30
MF-GB128,Platycephalidae,Platycephalus,spp,1
MF-GB128,Carangidae,Pseudocaranx,spp,2
MF-GB128,Rhinobatidae,Trygonorrhina,fasciata,2
MF-GB128,Mullidae,Upeneichthys,vlamingii,1
MF-GB134,Myliobatidae,Myliobatis,australis,2
MF-GB134,Monacanthidae,Nelusetta,ayraudi,2
MF-GB134,Gerreidae,Parequula,melbournensis,6
MF-GB134,Platycephalidae,Platycephalus,spp,2
MF-GB134,Carangidae,Pseudocaranx,spp,1
MF-GB134,Paralichthyidae,Pseudorhombus,jenynsii,1
MF-GB145,Dasyatidae,Dasyatis,brevicaudata,1
MF-GB145,Monacanthidae,Nelusetta,ayraudi,17
MF-GB145,Scorpaenidae,Neosebastes,pandus,1
MF-GB145,Gerreidae,Parequula,melbournensis,4
MF-GB145,Platycephalidae,Platycephalus,spp,2
MF-GB145,Carangidae,Pseudocaranx,spp,27
MF-GB145,Monacanthidae,Scobinichthys,granulatus,1
MF-GB145,Sillaginidae,Sillaginodes,punctata,3
MF-GB145,Carangidae,Trachurus,novaezelandiae,1
MF-GB145,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB145,Mullidae,Upeneichthys,vlamingii,2
MF-GB168,Ostraciidae,Anoplocapros,amygdaloides,1
MF-GB168,Rhinobatidae,Aptychotrema,vincentiana,1
MF-GB168,Monacanthidae,Nelusetta,ayraudi,5
MF-GB168,Gerreidae,Parequula,melbournensis,2
MF-GB168,Platycephalidae,Platycephalus,spp,1
MF-GB168,Carangidae,Pseudocaranx,spp,8
MF-GB168,Sillaginidae,Sillago,spp,10
MF-GB168,Carangidae,Trachurus,novaezelandiae,2
MF-GB168,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB173,Ostraciidae,Anoplocapros,amygdaloides,1
MF-GB173,Dasyatidae,Dasyatis,brevicaudata,1
MF-GB173,Monacanthidae,Nelusetta,ayraudi,8
MF-GB173,Platycephalidae,Platycephalus,spp,1
MF-GB173,Carangidae,Pseudocaranx,spp,15
MF-GB173,Monacanthidae,Scobinichthys,granulatus,1
MF-GB173,Sillaginidae,Sillaginodes,punctata,3
MF-GB173,Sillaginidae,Sillago,spp,2
MF-GB173,Carangidae,Trachurus,novaezelandiae,100
MF-GB173,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB192,Caesioscorpididae,Caesioscorpis,theagenes,1
MF-GB192,Labridae,Coris,auricularis,1
MF-GB192,Dasyatidae,Dasyatis,brevicaudata,1
MF-GB192,Monacanthidae,Nelusetta,ayraudi,13
MF-GB192,Gerreidae,Parequula,melbournensis,3
MF-GB192,Platycephalidae,Platycephalus,spp,2
MF-GB192,Carangidae,Pseudocaranx,spp,7
MF-GB192,Sillaginidae,Sillago,spp,100
MF-GB192,Carangidae,Trachurus,novaezelandiae,70
MF-GB192,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB199,Monacanthidae,Acanthaluteres,spilomelanurus,3
MF-GB199,Dasyatidae,Dasyatis,brevicaudata,1
MF-GB199,Monacanthidae,Meuschenia,venusta,2
MF-GB199,Monacanthidae,Nelusetta,ayraudi,10
MF-GB199,Gerreidae,Parequula,melbournensis,6
MF-GB199,Terapontidae,Pelates,sexlineatus,4
MF-GB199,Platycephalidae,Platycephalus,spp,1
MF-GB199,Carangidae,Pseudocaranx,spp,20
MF-GB199,Sillaginidae,Sillaginodes,punctata,7
MF-GB199,Carangidae,Trachurus,novaezelandiae,7
MF-GB199,Rhinobatidae,Trygonorrhina,fasciata,2
MF-GB199,Mullidae,Upeneichthys,vlamingii,2
MF-GB221,Ostraciidae,Anoplocapros,lenticularis,1
MF-GB221,Ostraciidae,Anoplocapros,amygdaloides,1
MF-GB221,Rhinobatidae,Aptychotrema,vincentiana,1
MF-GB221,Dasyatidae,Dasyatis,brevicaudata,2
MF-GB221,Triakidae,Mustelus,antarcticus,1
MF-GB221,Myliobatidae,Myliobatis,australis,1
MF-GB221,Monacanthidae,Nelusetta,ayraudi,4
MF-GB221,Gerreidae,Parequula,melbournensis,5
MF-GB221,Platycephalidae,Platycephalus,spp,3
MF-GB221,Carangidae,Pseudocaranx,spp,3
MF-GB221,Carangidae,Seriola,hippos,2
MF-GB221,Sillaginidae,Sillaginodes,punctata,11
MF-GB221,Rhinobatidae,Trygonorrhina,fasciata,3
MF-GB228,Labridae,Austrolabrus,maculatus,1
MF-GB228,Labridae,Bodianus,frenchii,1
MF-GB228,Chaetodontidae,Chelmonops,curiosus,2
MF-GB228,Labridae,Coris,auricularis,2
MF-GB228,Enoplosidae,Enoplosus,armatus,2
MF-GB228,Serranidae,Epinephelides,armatus,2
MF-GB228,Monacanthidae,Eubalichthys,mosaicus,1
MF-GB228,Serranidae,Hypoplectrodes,nigroruber,1
MF-GB228,Scorpaenidae,Neosebastes,pandus,1
MF-GB228,Labridae,Notolabrus,parilus,1
MF-GB228,Labridae,Ophthalmolepis,lineolatus,1
MF-GB228,Sparidae,Pagrus,auratus,3
MF-GB228,Plesiopidae,Paraplesiops,meleagris,1
MF-GB228,Pomacentridae,Parma,mccullochi,1
MF-GB228,Mullidae,Parupeneus,chrysopleuron,1
MF-GB228,Labridae,Pseudolabrus,biserialis,5
MF-GB228,Plesiopidae,Trachinops,noarlungae,50
MF-GB228,Rhinobatidae,Trygonorrhina,fasciata,1
MF-INB1-1,Dasyatidae,Dasyatis,brevicaudata,1
MF-INB1-1,Sparidae,Pagrus,auratus,1
MF-INB1-1,Carangidae,Pseudocaranx,spp,28
MF-INB1-2,Ostraciidae,Anoplocapros,lenticularis,1
MF-INB1-2,Dasyatidae,Dasyatis,brevicaudata,1
MF-INB1-2,Platycephalidae,Platycephalus,spp,2
MF-INB1-3,Aulopidae,Aulopus,purpurissatus,2
MF-INB1-3,Labridae,Austrolabrus,maculatus,1
MF-INB1-3,Labridae,Bodianus,frenchii,2
MF-INB1-3,Serranidae,Caesioperca,rasor,3
MF-INB1-3,Chaetodontidae,Chelmonops,curiosus,2
MF-INB1-3,Labridae,Choerodon,rubescens,1
MF-INB1-3,Pomacentridae,Chromis,klunzingeri,7
MF-INB1-3,Labridae,Coris,auricularis,3
MF-INB1-3,Dinolestidae,Dinolestes,lewini,35
MF-INB1-3,Serranidae,Epinephelides,armatus,1
MF-INB1-3,Girellidae,Girella,tephraeops,2
MF-INB1-3,Girellidae,Girella,zebra,1
MF-INB1-3,Kyphosidae,Kyphosus,sydneyanus,1
MF-INB1-3,Monacanthidae,Meuschenia,galii,2
MF-INB1-3,Monacanthidae,Meuschenia,hippocrepis,2
MF-INB1-3,Myliobatidae,Myliobatis,australis,1
MF-INB1-3,Scorpididae,Neatypus,obliquus,6
MF-INB1-3,Cheilodactylidae,Nemadactylus,valenciennesi,1
MF-INB1-3,Labridae,Notolabrus,parilus,1
MF-INB1-3,Labridae,Ophthalmolepis,lineolatus,3
MF-INB1-3,Sparidae,Pagrus,auratus,2
MF-INB1-3,Plesiopidae,Paraplesiops,meleagris,1
MF-INB1-3,Pomacentridae,Parma,mccullochi,1
MF-INB1-3,Pempherididae,Pempheris,klunzingeri,2
MF-INB1-3,Haemulidae,Plectorhinchus,flavomaculatus,2
MF-INB1-3,Carangidae,Pseudocaranx,spp,4
MF-INB1-3,Labridae,Pseudolabrus,biserialis,4
MF-INB1-3,Scorpididae,Scorpis,georgiana,2
MF-INB1-3,Plesiopidae,Trachinops,noarlungae,100
MF-INB1-4,Labridae,Achoerodus,gouldii,1
MF-INB1-4,Labridae,Bodianus,frenchii,1
MF-INB1-4,Berycidae,Centroberyx,lineatus,3
MF-INB1-4,Labridae,Coris,auricularis,1
MF-INB1-4,Dasyatidae,Dasyatis,brevicaudata,1
MF-INB1-4,Serranidae,Epinephelides,armatus,2
MF-INB1-4,Serranidae,Hypoplectrodes,nigroruber,1
MF-INB1-4,Monacanthidae,Meuschenia,hippocrepis,1
MF-INB1-4,Scorpididae,Neatypus,obliquus,34
MF-INB1-4,Cheilodactylidae,Nemadactylus,valenciennesi,1
MF-INB1-4,Labridae,Notolabrus,parilus,1
MF-INB1-4,Labridae,Ophthalmolepis,lineolatus,5
MF-INB1-4,Serranidae,Othos,dentex,1
MF-INB1-4,Pomacentridae,Parma,mccullochi,2
MF-INB1-4,Carangidae,Pseudocaranx,spp,1
MF-INB1-4,Labridae,Pseudolabrus,biserialis,12
MF-INB1-5,Ostraciidae,Anoplocapros,amygdaloides,1
MF-INB1-5,Sparidae,Pagrus,auratus,2
MF-INB1-5,Carangidae,Pseudocaranx,spp,20
MF-INB1-5,Carangidae,Seriola,hippos,2
MF-INB2-1,Labridae,Bodianus,frenchii,1
MF-INB2-1,Labridae,Coris,auricularis,1
MF-INB2-1,Dasyatidae,Dasyatis,brevicaudata,1
MF-INB2-1,Girellidae,Girella,zebra,2
MF-INB2-1,Monacanthidae,Meuschenia,flavolineata,2
MF-INB2-1,Monacanthidae,Meuschenia,galii,1
MF-INB2-1,Monacanthidae,Meuschenia,hippocrepis,3
MF-INB2-1,Scorpididae,Neatypus,obliquus,8
MF-INB2-1,Labridae,Notolabrus,parilus,2
MF-INB2-1,Odacidae,Odax,cyanomelas,1
MF-INB2-1,Labridae,Ophthalmolepis,lineolatus,25
MF-INB2-1,Orectolobidae,Orectolobus,maculatus,1
MF-INB2-1,Labridae,Pictilabrus,laticlavius,2
MF-INB2-1,Carangidae,Pseudocaranx,spp,3
MF-INB2-1,Labridae,Pseudolabrus,biserialis,2
MF-INB2-1,Scorpididae,Scorpis,aequipinnis,1
MF-INB2-1,Scorpididae,Scorpis,georgiana,1
MF-INB2-1,Carangidae,Seriola,hippos,2
MF-INB2-1,Odacidae,Siphonognathus,beddomei,1
MF-INB2-1,Urolophidae,Trygonoptera,ovalis,1
MF-INB2-2,Aulopidae,Aulopus,purpurissatus,1
MF-INB2-2,Serranidae,Caesioperca,rasor,3
MF-INB2-2,Labridae,Coris,auricularis,1
MF-INB2-2,Girellidae,Girella,zebra,2
MF-INB2-2,Monacanthidae,Meuschenia,flavolineata,1
MF-INB2-2,Monacanthidae,Meuschenia,galii,1
MF-INB2-2,Monacanthidae,Meuschenia,hippocrepis,2
MF-INB2-2,Scorpididae,Neatypus,obliquus,11
MF-INB2-2,Labridae,Notolabrus,parilus,1
MF-INB2-2,Labridae,Ophthalmolepis,lineolatus,12
MF-INB2-2,Labridae,Pictilabrus,laticlavius,1
MF-INB2-2,Carangidae,Pseudocaranx,spp,7
MF-INB2-2,Labridae,Pseudolabrus,biserialis,3
MF-INB2-2,Urolophidae,Trygonoptera,ovalis,1
MF-INB2-2,Mullidae,Upeneichthys,vlamingii,2
MF-INB2-3,Labridae,Austrolabrus,maculatus,2
MF-INB2-3,Labridae,Bodianus,frenchii,2
MF-INB2-3,Labridae,Coris,auricularis,2
MF-INB2-3,Muraenidae,Gymnothorax,prasinus,1
MF-INB2-3,Monacanthidae,Meuschenia,galii,1
MF-INB2-3,Monacanthidae,Meuschenia,hippocrepis,1
MF-INB2-3,Scorpididae,Neatypus,obliquus,2
MF-INB2-3,Cheilodactylidae,Nemadactylus,valenciennesi,1
MF-INB2-3,Labridae,Notolabrus,parilus,1
MF-INB2-3,Odacidae,Odax,cyanomelas,1
MF-INB2-3,Labridae,Ophthalmolepis,lineolatus,12
