CODE,DESCRIPTION,FUNCTIONAL GROUP
U,Unscorable,1_1
SP,Sponges,10000000_1
SPC,Sponges: Crusts,10000901_1
SPCE,Sponges: Crusts: Encrusting,10000902_1
SPCEBRYSPMAT,Sponges: Crusts: Encrusting: Bryozoa / Sponge Matrix,10000902_2
SCEEO1,Sponges: Crusts: Encrusting: Encrusting Orange,10000902_3
SCEELO2,Sponges: Crusts: Encrusting: Encrusting Light Orange,10000902_4
SCEEY3,Sponges: Crusts: Encrusting: Encrusting Yellow 3,10000902_5
SCEEB4,Sponges: Crusts: Encrusting: Encrusting Blue,10000902_6
SCEEB5,Sponges: Crusts: Encrusting: Encrusting Brown 5,10000902_7
SCEEW6,Sponges: Crusts: Encrusting: Encrusting White,10000902_8
SCEEG7,Sponges: Crusts: Encrusting: Encrusting Green,10000902_9
SCEEBO,Sponges: Crusts: Encrusting: Encrusting Beige Oscula,10000902_10
SCEEBS,Sponges: Crusts: Encrusting: Encrusting Beige Smooth,10000902_11
SCEEBlk,Sponges: Crusts: Encrusting: Encrusting Black,10000902_12
SCEEBL,Sponges: Crusts: Encrusting: Encrusting Black Lumpy,10000902_13
SCEEBP,Sponges: Crusts: Encrusting: Encrusting Black Papillate,10000902_14
SCEEBT,Sponges: Crusts: Encrusting: Encrusting Black Thick,10000902_15
SCEEBrn,Sponges: Crusts: Encrusting: Encrusting Brown,10000902_16
SCEEOB,Sponges: Crusts: Encrusting: Encrusting Orange Beige,10000902_17
SCEEOF,Sponges: Crusts: Encrusting: Encrusting Orange Fluffy,10000902_18
SCEEOL,Sponges: Crusts: Encrusting: Encrusting Orange Lumpy,10000902_19
SCEEON,Sponges: Crusts: Encrusting: Encrusting Orange Nodular,10000902_20
SCEEOP,Sponges: Crusts: Encrusting: Encrusting Orange Papillate,10000902_21
SCEEPPW,Sponges: Crusts: Encrusting: Encrusting Papillate Pink White,10000902_22
SCEEPL,Sponges: Crusts: Encrusting: Encrusting Purple Lumpy,10000902_23
SCEEPO,Sponges: Crusts: Encrusting: Encrusting Purple Oscula,10000902_24
SCEEWG,Sponges: Crusts: Encrusting: Encrusting White Granular,10000902_25
SCEEWL,Sponges: Crusts: Encrusting: Encrusting White Lumpy,10000902_26
SCEEY2,Sponges: Crusts: Encrusting: Encrusting Yellow 2,10000902_27
SCEEYOT,Sponges: Crusts: Encrusting: Encrusting Yellow Orange Thick,10000902_28
SCEEYR,Sponges: Crusts: Encrusting: Encrusting Yellow Rough,10000902_29
SCEPS1,Sponges: Crusts: Encrusting: Papillate Suberites Like,10000902_30
SCEPY2,Sponges: Crusts: Encrusting: Papillate Yellow,10000902_31
SCEPB3,Sponges: Crusts: Encrusting: Papillate Black,10000902_32
SCETWC3,Sponges: Crusts: Encrusting: Tubular White Colony,10000902_33
SPM,Sponges: Massive Forms,10000903_1
SPMSI,Sponges: Massive Forms: Simple,10000904_1
SPMSIISSY,Sponges: Massive Forms: Simple: Irregular Sand Sponge Yellow,10000904_2
SPMSILO2,Sponges: Massive Forms: Simple: Lumpy Orange,10000904_3
SPMSILW3,Sponges: Massive Forms: Simple: Lumpy White,10000904_4
SPMSILP4,Sponges: Massive Forms: Simple: Lumpy Pink,10000904_5
SPMSILY5,Sponges: Massive Forms: Simple: Lumpy Yellow,10000904_6
SPMSILOY6,Sponges: Massive Forms: Simple: Lumpy Opaque Yellow,10000904_7
SPMSIM1,Sponges: Massive Forms: Simple: Massive,10000904_8
SPMSIMB10,Sponges: Massive Forms: Simple: Massive Brown,10000904_9
SPMSIMWH11,Sponges: Massive Forms: Simple: Massive White Holey,10000904_10
SPMSIMYP12,Sponges: Massive Forms: Simple: Massive Yellow Papillate,10000904_11
SPMSIMWP13,Sponges: Massive Forms: Simple: Massive White Papillate,10000904_12
SPMSIMS15,Sponges: Massive Forms: Simple: Massive Shapeless,10000904_13
SPMSIMP16,Sponges: Massive Forms: Simple: Massive Purple,10000904_14
SPMSIMWL17,Sponges: Massive Forms: Simple: Massive White Lumpy,10000904_15
SPMSIMOH18,Sponges: Massive Forms: Simple: Massive Orange Holey,10000904_16
SPMSIMYS19,Sponges: Massive Forms: Simple: Massive Yellow Shapeless,10000904_17
SPMSIM2,Sponges: Massive Forms: Simple: Massive 2,10000904_18
SPMSIMP20,Sponges: Massive Forms: Simple: Massive Pink,10000904_19
SPMSIM21,Sponges: Massive Forms: Simple: Massive 21,10000904_20
SPMSIMYH22,Sponges: Massive Forms: Simple: Massive Yellow Holey,10000904_21
SPMSIMOR23,Sponges: Massive Forms: Simple: Massive Orange Ribbon,10000904_22
SPMSIMBL24,Sponges: Massive Forms: Simple: Massive Blue Lumpy,10000904_23
SPMSIMO3,Sponges: Massive Forms: Simple: Massive Orange,10000904_24
SPMSIMV6,Sponges: Massive Forms: Simple: Massive Velet,10000904_25
SPMSIMB7,Sponges: Massive Forms: Simple: Massive Blue,10000904_26
SPMSIM8,Sponges: Massive Forms: Simple: Massive 8,10000904_27
SPMSIMW9,Sponges: Massive Forms: Simple: Massive White,10000904_28
SPMSIMBN,Sponges: Massive Forms: Simple: Massive Beige Nodular,10000904_29
SPMSIMBS,Sponges: Massive Forms: Simple: Massive Beige Shapeless,10000904_30
SPMSIMBTC,Sponges: Massive Forms: Simple: Massive Beige Thick Crust,10000904_31
SPMSIMBluS,Sponges: Massive Forms: Simple: Massive Blue Shapeless,10000904_32
SPMSIMBluTC,Sponges: Massive Forms: Simple: Massive Blue Thick Crust,10000904_33
SPMSIMCP,Sponges: Massive Forms: Simple: Massive Cream Papillate,10000904_34
SPMSIMGLL,Sponges: Massive Forms: Simple: Massive Grey Laminar Like,10000904_35
SPMSIMPSO,Sponges: Massive Forms: Simple: Massive Peach Shapeless Oscula,10000904_36
SPMSIMPC,Sponges: Massive Forms: Simple: Massive Purple Chunks,10000904_37
SPMSIMR,Sponges: Massive Forms: Simple: Massive Red,10000904_38
SPMSIMRWS,Sponges: Massive Forms: Simple: Massive Red White Shapeless,10000904_39
SPMSIMWS,Sponges: Massive Forms: Simple: Massive White Shapeless,10000904_40
SPMSIMYIB,Sponges: Massive Forms: Simple: Massive Yellow Irregular Ball,10000904_41
SPMSIOMB1,Sponges: Massive Forms: Simple: Orange Massive Ball,10000904_42
SPMSIPM,Sponges: Massive Forms: Simple: Purple Massive,10000904_43
SPMSISBH,Sponges: Massive Forms: Simple: Simple Beige Honeycomb,10000904_44
SPMSISBIO,Sponges: Massive Forms: Simple: Simple Beige Irregular Oscula,10000904_45
SPMSISBLAB,Sponges: Massive Forms: Simple: Simple Beige Labyrinth,10000904_46
SPMSISBLL,Sponges: Massive Forms: Simple: Simple Beige Laminar Like,10000904_47
SPMSISBL,Sponges: Massive Forms: Simple: Simple Beige Lumpy,10000904_48
SPMSISBLS,Sponges: Massive Forms: Simple: Simple Beige Lumpy Shapeless,10000904_49
SPMSISBS,Sponges: Massive Forms: Simple: Simple Beige Shapeless,10000904_50
SPMSISBSm,Sponges: Massive Forms: Simple: Simple Beige Small,10000904_51
SPMSISBSmO,Sponges: Massive Forms: Simple: Simple Beige Small Oscula,10000904_52
SPMSISBSmoo,Sponges: Massive Forms: Simple: Simple Beige Smooth,10000904_53
SPMSISBTL,Sponges: Massive Forms: Simple: Simple Beige Tube Like,10000904_54
SPMSISBSh,Sponges: Massive Forms: Simple: Simple Blue Shapeless,10000904_55
SPMSISBSO,Sponges: Massive Forms: Simple: Simple Blue Shapeless Oscula,10000904_56
SPMSISGB,Sponges: Massive Forms: Simple: Simple Grey Brain,10000904_57
SPMSISGC,Sponges: Massive Forms: Simple: Simple Grey Creep,10000904_58
SPMSISGD,Sponges: Massive Forms: Simple: Simple Grey Doughnut,10000904_59
SPMSISOC,Sponges: Massive Forms: Simple: Simple Orange Confused,10000904_60
SPMSISOG,Sponges: Massive Forms: Simple: Simple Orange Globes,10000904_61
SPMSISOR,Sponges: Massive Forms: Simple: Simple Orange Rough,10000904_62
SPMSISOS,Sponges: Massive Forms: Simple: Simple Orange Smooth,10000904_63
SPMSISPI,Sponges: Massive Forms: Simple: Simple Pink Irregular,10000904_64
SPMSISPO,Sponges: Massive Forms: Simple: Simple Pink Oscula,10000904_65
SPMSISPF,Sponges: Massive Forms: Simple: Simple Purple Furrowed,10000904_66
SPMSISPS,Sponges: Massive Forms: Simple: Simple Purple Shapeless,10000904_67
SPMSISRBL,Sponges: Massive Forms: Simple: Simple Red Ball Like,10000904_68
SPMSISRG,Sponges: Massive Forms: Simple: Simple Red Globes,10000904_69
SPMSISWR,Sponges: Massive Forms: Simple: Simple White Rough,10000904_70
SPMSISYL,Sponges: Massive Forms: Simple: Simple Yellow Lumpy,10000904_71
SPMSISYR,Sponges: Massive Forms: Simple: Simple Yellow Rough,10000904_72
SPMSIYSS1,Sponges: Massive Forms: Simple: Yellow Shapeless Smooth,10000904_73
SPMSIMDP,Sponges: Massive Forms: Simple: Massive Dark Purple,10000904_74
SPMSIMSGG,Sponges: Massive Forms: Simple: Smooth Grey Globes,10000904_75
SPMSIMBOP,Sponges: Massive Forms: Simple: Massive Black Oscula Papillate,10000904_76
SPMSIMYOL,Sponges: Massive Forms: Simple: Yellow Oscula Lamiar like,10000904_77
SPMSIMMYK,Sponges: Massive Forms: Simple: Massive Yellow Knobby,10000904_78
SPMSIMMRB,Sponges: Massive Forms: Simple: Massive Royal Blue,10000904_79
SPMR,Sponges: Massive Forms: Balls,10000905_1
SPMRBPO,Sponges: Massive Forms: Balls: Ball Pink Oscula,10000905_2
SPMRBYPI,Sponges: Massive Forms: Balls: Ball Yellow Papillate Irregular,10000905_3
SPMRGOT1,Sponges: Massive Forms: Balls: Globular Orange Tethya Like,10000905_4
SPMRGWT2,Sponges: Massive Forms: Balls: Globular White Tethya Like,10000905_5
SPMRGB3,Sponges: Massive Forms: Balls: Globular Blue,10000905_6
SPMRGO4,Sponges: Massive Forms: Balls: Globular Orange,10000905_7
SPMRGG5,Sponges: Massive Forms: Balls: Globular Grey,10000905_8
SPMRPLO4,Sponges: Massive Forms: Balls: Papillate Light Orange,10000905_9
SPMRPBB5,Sponges: Massive Forms: Balls: Papillate Black Ball,10000905_10
SPMRPOB,Sponges: Massive Forms: Balls: Papillate Orange Ball,10000905_11
SPMRSOB,Sponges: Massive Forms: Balls: Smooth Orange Ball,10000905_12
SPMRKYB,Sponges: Massive Forms: Balls: Knobby Yellow Ball,10000905_13
SPMST,Sponges: Erect Forms: Stalked,10000906_1
SEFSSWL,Sponges: Erect Forms: Stalked: Stalked White Lumpy,10000906_2
SEFSSWPC,Sponges: Erect Forms: Stalked: Stalked White-pink Club,10000906_3
SEFSSROS,Sponges: Erect Forms: Stalked: Stalked Red-Orange Sausage,10000906_4
SPCLB,Sponges: Cup-Likes: Barrels,10000907_1
SPCLBBBT,Sponges: Cup-Likes: Barrels: Barrel Blue Thick,10000907_2
SPCLBBOO,Sponges: Cup-Likes: Barrels: Barrel Orange Oscula,10000907_3
SPCLBBOR,Sponges: Cup-Likes: Barrels: Barrel Orange Rotund,10000907_4
SPCLBBPL,Sponges: Cup-Likes: Barrels: Barrel Pink Lumpy,10000907_5
SPCLBBPM,Sponges: Cup-Likes: Barrels: Barrel Pink Mouth,10000907_6
SPCLBBRTW,Sponges: Cup-Likes: Barrels: Barrel Red Thick Wall,10000907_7
SPCLBCPT6,Sponges: Cup-Likes: Barrels: Cup Pink Thick,10000907_8
SPCLBMD4,Sponges: Cup-Likes: Barrels: Massive Donut,10000907_9
SPCLBTPO12,Sponges: Cup-Likes: Barrels: Tubular Pale Orange,10000907_10
SPCLBTTS5,Sponges: Cup-Likes: Barrels: Tubular Tan Singular,10000907_11
SPCLBPWSM,Sponges: Cup-Likes: Barrels: Pink-White Smooth Mouth,10000907_12
SPMC,Sponges: Massive Forms: Cryptic,10000908_1
SPMCCR1,Sponges: Massive Forms: Cryptic: Cryptic Red,10000908_2
SPMCCBW,Sponges: Massive Forms: Cryptic: Cryptic Black Wrinkly,10000908_3
SPMCCPB,Sponges: Massive Forms: Cryptic: Cryptic Purple Brain,10000908_4
SPMCCSWM,Sponges: Massive Forms: Cryptic: Cryptic Spiky White Massive,10000908_5
SPMCCLT,Sponges: Massive Forms: Cryptic: Cryptic Lavender Tubes,10000908_6
SPMCCOT,Sponges: Massive Forms: Cryptic: Cryptic Orange Tubes,10000908_7
SPCL,Sponges: Cup-Likes,10000909_1
SPCLC,Sponges: Cup-Likes: Cups,10000910_1
SPCLTC,Sponges: Cup-Likes: Tubes And Chimneys,10000911_1
SPCLTCCGR,Sponges: Cup-Likes: Tubes And Chimneys: Chimmey Grey Rough Small Oscule,10000911_2
SPCLTCCGS,Sponges: Cup-Likes: Tubes And Chimneys: Chimney Grey Single,10000911_3
SPCLTCCWR,Sponges: Cup-Likes: Tubes And Chimneys: Chimney White Round,10000911_4
SPCLTCCWT,Sponges: Cup-Likes: Tubes And Chimneys: Chimney White Tall,10000911_5
SPCLTCCYL,Sponges: Cup-Likes: Tubes And Chimneys: Chimney Yellow Large,10000911_6
SPCLTCTBI,Sponges: Cup-Likes: Tubes And Chimneys: Tube Beige Irregular,10000911_7
SPCLTCTWL,Sponges: Cup-Likes: Tubes And Chimneys: Tube White Lumpy,10000911_8
SPCLTCTBP,Sponges: Cup-Likes: Tubes And Chimneys: Tubes Beige Prostrate,10000911_9
SPCLTCTO,Sponges: Cup-Likes: Tubes And Chimneys: Tubes Orange Irrigular,10000911_10
SPCLTCTOWT,Sponges: Cup-Likes: Tubes And Chimneys: Tubes Orange White Tips,10000911_11
SPCLTCTP,Sponges: Cup-Likes: Tubes And Chimneys: Tubes Pink Cluster,10000911_12
SPCLTCTWF,Sponges: Cup-Likes: Tubes And Chimneys: Tubes White Fan,10000911_13
SPCLTCTWLO,Sponges: Cup-Likes: Tubes And Chimneys: Tubes White Large Osculum,10000911_14
SPCLTCT7,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Pink Thorny,10000911_15
SPCLTCT1,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Pink,10000911_16
SPCLTCT11,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Blue,10000911_17
SPCLTCT13,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Sycon,10000911_18
SPCLTCT14,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Solitary,10000911_19
SPCLTCT15,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Fuzzy,10000911_20
SPCLTCT2,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Apricot,10000911_21
SPCLTCT4,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Tan,10000911_22
SPCLTCT6,Sponges: Cup-Likes: Tubes And Chimneys: Tubular White Thorny,10000911_23
SPCLTCT8,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Orange,10000911_24
SPCLTCTA,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Apricot Community,10000911_25
SPE,Sponges: Erect Forms,10000912_1
SPEL,Sponges: Erect Forms: Laminar,10000913_1
SPELFO1,Sponges: Erect Forms: Laminar: Fan Orange,10000913_2
SPELFTLO10,Sponges: Erect Forms: Laminar: Fan Thick Large Oscules,10000913_3
SPELFTP11,Sponges: Erect Forms: Laminar: Fan Thick Pink,10000913_4
SPELFBT12,Sponges: Erect Forms: Laminar: Fan Brown Thin,10000913_5
SPELFOT15,Sponges: Erect Forms: Laminar: Fan Orange Thorny,10000913_6
SPELFOF3,Sponges: Erect Forms: Laminar: Fan Orange Flat,10000913_7
SPELFP5,Sponges: Erect Forms: Laminar: Fan Peach,10000913_8
SPELFY6,Sponges: Erect Forms: Laminar: Fan Yellow,10000913_9
SPELFOT7,Sponges: Erect Forms: Laminar: Fan Orange Thin Blade,10000913_10
SPELFBT8,Sponges: Erect Forms: Laminar: Fan Blue Thick,10000913_11
SPELFOT9,Sponges: Erect Forms: Laminar: Fan Orange Thick,10000913_12
SPELFLPL,Sponges: Erect Forms: Laminar: Fan Light Pink Lumpy,10000913_13
SPELFPT,Sponges: Erect Forms: Laminar: Fan Peach Thick,10000913_14
SPELFWF,Sponges: Erect Forms: Laminar: Fan White Frilly,10000913_15
SPELFWT,Sponges: Erect Forms: Laminar: Fan White Thick,10000913_16
SPELFWTh,Sponges: Erect Forms: Laminar: Fan White Thin,10000913_17
SPELLAS,Sponges: Erect Forms: Laminar: Laminar Apricot Stalked,10000913_18
SPELLGF,Sponges: Erect Forms: Laminar: Laminar Grey Fungi,10000913_19
SPELLGR,Sponges: Erect Forms: Laminar: Laminar Grey Rough,10000913_20
SPELLGRS,Sponges: Erect Forms: Laminar: Laminar Grey Round Stalk,10000913_21
SPELLOI,Sponges: Erect Forms: Laminar: Laminar Orange Irregular,10000913_22
SPELLOSP,Sponges: Erect Forms: Laminar: Laminar Orange Surface Pores,10000913_23
SPELLWI,Sponges: Erect Forms: Laminar: Laminar White Irregular,10000913_24
SPELLWS,Sponges: Erect Forms: Laminar: Laminar White Small,10000913_25
SPELLYF,Sponges: Erect Forms: Laminar: Laminar Yellow Fine,10000913_26
SPELLTFT,Sponges: Erect Forms: Laminar: Laminar Terracotta Fan Thick,10000913_27
SPELLBR,Sponges: Erect Forms: Laminar: Laminar Brown Ruffle,10000913_28
SPEP,Sponges: Erect Forms: Palmate,10000914_1
SPEPAWF1,Sponges: Erect Forms: Palmate: Arborescent White Flat,10000914_2
SPEPAOT11,Sponges: Erect Forms: Palmate: Arborescent Orange Fan,10000914_3
SPEPABT16,Sponges: Erect Forms: Palmate: Arborescent Brown Thick,10000914_4
SPEPAOF4,Sponges: Erect Forms: Palmate: Arborescent Orange Flat,10000914_5
SPEPFWT14,Sponges: Erect Forms: Palmate: Fan White Thin,10000914_6
SPEPPBF,Sponges: Erect Forms: Palmate: Palmate Beige Flat,10000914_7
SPEPPG,Sponges: Erect Forms: Palmate: Palmate Grey,10000914_8
SPEPPGF,Sponges: Erect Forms: Palmate: Palmate Grey Fingers,10000914_9
SPEPPGSF,Sponges: Erect Forms: Palmate: Palmate Grey Stalked Fingers,10000914_10
SPEPPOF,Sponges: Erect Forms: Palmate: Palmate Orange Flat,10000914_11
SPEPPWT,Sponges: Erect Forms: Palmate: Palmate White Thorny,10000914_12
SPEPOFP,Sponges: Erect Forms: Palmate:Orange Flat Pronghorn,10000914_13
SPEPAYF,Sponges: Erect Forms: Palmate: Arborescent Yellow Flat,10000914_14
SPEB,Sponges: Erect Forms: Branching,10000915_1
SPEBAOBF10,Sponges: Erect Forms: Branching: Arborescent Orange / Brown Fingers,10000915_2
SPEBABT12,Sponges: Erect Forms: Branching: Arborescent Brown Thorny,10000915_3
SPEBAO13,Sponges: Erect Forms: Branching: Arborescent Orange,10000915_4
SPEBAB14,Sponges: Erect Forms: Branching: Arborescent Black,10000915_5
