"sample","detailed.consolidated.rock","detailed.fishes.elasmobranchs.rays.skates","detailed.macroalgae.articulated.calcareous.red","detailed.macroalgae.articulated.calcareous.red.articulated.calcareous.red","detailed.macroalgae.encrusting.red.calcareous","detailed.macroalgae.erect.coarse.branching.brown","detailed.macroalgae.erect.coarse.branching.brown.sargassum.spp","detailed.macroalgae.erect.coarse.branching.red","detailed.macroalgae.erect.fine.branching","detailed.macroalgae.erect.fine.branching.red","detailed.macroalgae.filamentous.filiform","detailed.macroalgae.filamentous.filiform.red","detailed.macroalgae.laminate.green","detailed.macroalgae.large.canopy.forming.brown.brown.other.canopy.forming.sp","detailed.seagrasses.elliptical.leaves.halophila.sp.","detailed.seagrasses.strap.like.leaves","detailed.seagrasses.strap.like.leaves.amphibolis.sp.","detailed.seagrasses.strap.like.leaves.amphibolis.sp.epiphytes","detailed.seagrasses.strap.like.leaves.posidonia.sp.","detailed.seagrasses.strap.like.leaves.posidonia.sp.epiphytes","detailed.seagrasses.strap.like.leaves.zostera.sp.","detailed.unconsolidated.sand.mud.2mm.","detailed.unconsolidated.sand.mud.2mm.coarse.sand.with.shell.fragments.","detailed.unconsolidated.sand.mud.2mm.fine.sand.no.shell.fragments.","detailed.total.points.annotated","campaignid","transect.id","latitude","longitude"
"PR_20150526_024929_398_FC16",0,0,14,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,3,24,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5731302,115.1924801
"PR_20150526_024950_407_FC16",0,0,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,13,0,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5731316,115.1927149
"PR_20150526_025011_416_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5731339,115.1929535
"PR_20150526_025021_920_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5731345,115.1930714
"PR_20150526_025238_468_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5731916,115.194636
"PR_20150526_025320_479_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5732047,115.195118
"PR_20150526_025505_517_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5729354,115.1960042
"PR_20150526_025526_523_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5727266,115.1960154
"PR_20150526_025547_529_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5725208,115.1960311
"PR_20150526_025608_535_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5723222,115.1960455
"PR_20150526_025629_541_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5722903,115.1958435
"PR_20150526_025650_549_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,14,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5722661,115.1955827
"PR_20150526_025711_556_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5722503,115.1953414
"PR_20150526_025732_563_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5722281,115.1951033
"PR_20150526_025753_573_FC16",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,12,0,18,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5722039,115.1948634
"PR_20150526_025814_583_FC16",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.572183,115.1946225
"PR_20150526_025835_594_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5723112,115.1945745
"PR_20150526_025856_607_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5725179,115.1945792
"PR_20150526_025917_619_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.572725,115.1945866
"PR_20150526_025938_631_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5729263,115.1945792
"PR_20150526_025949_136_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5730263,115.1945822
"PR_20150526_025959_641_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,11,10,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5731241,115.1945825
"PR_20150526_030020_650_FC16",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,5,0,0,0,0,15,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5733276,115.194581
"PR_20150526_030041_659_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,9,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5735367,115.194563
"PR_20150526_030102_669_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,16,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5737401,115.1945507
"PR_20150526_030123_681_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,20,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5739413,115.194538
"PR_20150526_030144_692_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,7,20,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5739937,115.1943845
"PR_20150526_030205_701_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,16,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5739597,115.1941302
"PR_20150526_030226_711_FC16",0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,13,22,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5739204,115.1938805
"PR_20150526_030247_721_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5738901,115.1936437
"PR_20150526_030258_226_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5738725,115.193523
"PR_20150526_030308_730_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5738537,115.1934039
"PR_20150526_030329_737_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5738234,115.193168
"PR_20150526_030350_745_FC16",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,19,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5736904,115.1931319
"PR_20150526_030411_752_FC16",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5734866,115.1931617
"PR_20150526_030432_757_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,18,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5732842,115.1931987
"PR_20150526_030443_259_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5731834,115.1932148
"PR_20150526_030453_763_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5730837,115.1932307
"PR_20150526_030514_771_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5728871,115.1932682
"PR_20150526_030535_781_FC16",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,13,24,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5726836,115.193298
"PR_20150526_030556_793_FC16",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5724866,115.1933361
"PR_20150526_030617_803_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5722875,115.1933609
"PR_20150526_030638_813_FC16",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,15,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5720936,115.1933969
"PR_20150526_030659_823_FC16",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,19,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5719669,115.1933085
"PR_20150526_030720_830_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5719445,115.1930511
"PR_20150526_030741_835_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5719014,115.1928053
"PR_20150526_030802_845_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,13,3,24,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5718634,115.1925582
"PR_20150526_030823_853_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,10,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5718313,115.1923173
"PR_20150526_030844_860_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5717986,115.1920792
"PR_20150526_030905_869_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.571847,115.1919109
"PR_20150526_030926_878_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5720422,115.1919427
"PR_20150526_030947_888_FC16",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,13,4,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5722559,115.1919443
"PR_20150526_031009_399_FC16",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,14,24,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5724684,115.1919385
"PR_20150526_031030_409_FC16",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,24,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.572668,115.1919417
"PR_20150526_031051_419_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,9,13,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5728727,115.1919533
"PR_20150526_031112_429_FC16",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,10,25,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5730754,115.1919546
"PR_20150526_031133_438_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5732696,115.1919481
"PR_20150526_031154_448_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,11,"AUV2015","r20150526_024446_wa-gb-auv-01",-33.5734715,115.1919653
"PR_20150526_040614_617_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5930648,115.2129587
"PR_20150526_040635_628_FC16",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5930341,115.2126935
"PR_20150526_040656_639_FC16",0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5930069,115.2124581
"PR_20150526_040717_651_FC16",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.592981,115.21222
"PR_20150526_040728_157_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5929717,115.2121043
"PR_20150526_040749_168_FC16",0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5929404,115.2118671
"PR_20150526_040810_181_FC16",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5929143,115.2116207
"PR_20150526_040820_689_FC16",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5928957,115.2114959
"PR_20150526_040841_703_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,19,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5928659,115.2112462
"PR_20150526_040902_717_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,9,24,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5928438,115.2110033
"PR_20150526_040913_224_FC16",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,24,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5928295,115.210883
"PR_20150526_040923_731_FC16",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,7,11,25,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5928167,115.2107614
"PR_20150526_040944_745_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,12,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5927925,115.2105227
"PR_20150526_041005_758_FC16",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14,25,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5927689,115.2102854
"PR_20150526_041026_771_FC16",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,15,"AUV2015","r20150526_035926_wa-gb-auv-02",-33.5927429,115.2100462
"PR_20150526_050904_039_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,23,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5809796,115.2264484
"PR_20150526_050925_048_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5807867,115.2265147
"PR_20150526_050946_056_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5805956,115.2265805
"PR_20150526_051007_065_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5804071,115.226647
"PR_20150526_051028_075_FC16",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,8,24,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5802204,115.2267196
"PR_20150526_051049_085_FC16",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,23,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5800295,115.2267883
"PR_20150526_051110_096_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5798338,115.2268655
"PR_20150526_051131_106_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5796363,115.2269365
"PR_20150526_051152_116_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,24,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5794407,115.2270029
"PR_20150526_051213_127_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5792451,115.2270762
"PR_20150526_051234_136_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5790478,115.2271403
"PR_20150526_051255_145_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5788566,115.2272157
"PR_20150526_051316_155_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,24,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5786633,115.2272863
"PR_20150526_051337_165_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5784765,115.2273584
"PR_20150526_051358_175_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.57828,115.2274272
"PR_20150526_051419_185_FC16",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,8,4,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5780798,115.2275035
"PR_20150526_051440_195_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,17,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5780169,115.2272927
"PR_20150526_051501_206_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18,21,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5779465,115.2270447
"PR_20150526_051522_214_FC16",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,15,18,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5778783,115.2268094
"PR_20150526_051543_223_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5778093,115.2265792
"PR_20150526_051604_232_FC16",0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,19,24,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5778171,115.2263935
"PR_20150526_051614_737_FC16",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,6,9,23,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5779106,115.2264174
"PR_20150526_051625_241_FC16",0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,24,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5780169,115.2263825
"PR_20150526_051635_745_FC16",0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.578124,115.2263526
"PR_20150526_051646_250_FC16",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,17,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5782272,115.2263251
"PR_20150526_051707_258_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5784257,115.2262662
"PR_20150526_051728_268_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5786202,115.2262045
"PR_20150526_051749_279_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5788125,115.2261431
"PR_20150526_051810_289_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5790133,115.2260756
"PR_20150526_051831_300_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5791541,115.2261111
"PR_20150526_051852_312_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22,24,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5791864,115.2263578
"PR_20150526_051902_818_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,22,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5792134,115.2264803
"PR_20150526_051913_324_FC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,25,"AUV2015","r20150526_050219_wa-gb-auv-03",-33.5792392,115.2266012
