Sample,Site,Depth_m,Lon,Lat,Current_LTM_Site,Location,Status,DBCA_Zone,DBCA_Sanctuary,Years_Sampled,Notes
CF1-1,CF1,35,114.9630562,-34.03167654,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF1-2,CF1,36,114.9618638,-34.03473082,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF1-3,CF1,34,114.9645196,-34.02826292,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF1-4,CF1,35.2,114.9596416,-34.03041892,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF1-5,CF1,34.2,114.9672295,-34.03140706,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF2-1,CF2,35,114.9615715,-34.04878635,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF2-2,CF2,36.9,114.9581828,-34.04880873,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF2-3,CF2,35.2,114.9615437,-34.04611378,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF2-4,CF2,33,114.9614352,-34.05177316,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF2-5,CF2,33,114.964525,-34.0501562,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF3-1,CF3,34.4,114.9600909,-34.07052741,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF3-2,CF3,34.8,114.9592605,-34.06763163,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF3-3,CF3,20,114.9557359,-34.0701918,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF3-4,CF3,33.9,114.9639238,-34.07073084,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF3-5,CF3,35.4,114.9588267,-34.07351556,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF4-1,CF4,33,114.9633449,-34.08750563,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF4-2,CF4,34.4,114.9596386,-34.08797862,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF4-3,CF4,34.3,114.9611571,-34.08492434,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF4-4,CF4,32.8,114.9669061,-34.08604718,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF4-5,CF4,32.4,114.9656587,-34.08973027,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF5-1,CF5,34,114.9599629,-34.10421562,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF5-2,CF5,39,114.9568167,-34.10268853,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF5-3,CF5,38,114.9565455,-34.10798857,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF5-4,CF5,34,114.9603426,-34.10776394,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF5-5,CF5,40,114.9542673,-34.10524869,Yes,Ngari Capes,No-take,Sanctuary,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF6-1,CF6,32,114.9703754,-34.12748236,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF6-2,CF6,38,114.965166,-34.13098583,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF6-3,CF6,33,114.9707552,-34.13103076,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF6-4,CF6,34,114.9674264,-34.12853396,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF6-5,CF6,37.8,114.9640807,-34.12694341,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF7-1,CF7,34,114.9777513,-34.14449737,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF7-2,CF7,34,114.9772654,-34.14774033,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF7-3,CF7,32,114.9814986,-34.14580897,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF7-4,CF7,35.2,114.973575,-34.14459628,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CF7-5,CF7,34.8,114.9792192,-34.14149707,Yes,Ngari Capes,Fished,General Use,Cape Freycinet,"2009, 2010, 2013, 2015, 2019, 2022",
CL1-1,CL1,27,115.0641144,-34.35731247,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL1-2,CL1,28,115.0617502,-34.35540886,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL1-3,CL1,30,115.0615428,-34.35848401,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL1-4,CL1,22,115.0657874,-34.3553444,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL1-5,CL1,24,115.0672237,-34.35758119,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL2-1,CL2,27,115.0730398,-34.36449895,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL2-2,CL2,25,115.0728279,-34.36202017,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL2-3,CL2,24,115.0759185,-34.36374491,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL2-4,CL2,30,115.0701073,-34.36356529,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL2-5,CL2,30,115.0706514,-34.36622428,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL3-1,CL3,28.1,115.0884997,-34.37871994,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL3-2,CL3,27.4,115.085686,-34.37791997,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL3-3,CL3,28.8,115.0859799,-34.38023765,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL3-4,CL3,27,115.0910031,-34.38019322,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL3-5,CL3,27,115.0899146,-34.37651013,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL4-1,CL4,29,115.0989154,-34.38603633,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL4-2,CL4,28,115.0994716,-34.38342679,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL4-3,CL4,29.6,115.0954876,-34.38567256,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL4-4,CL4,27.3,115.1020405,-34.38603189,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL4-5,CL4,29,115.0968809,-34.38804413,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL5-1,CL5,25,115.1103364,-34.39319154,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL5-2,CL5,29.1,115.1095744,-34.39064034,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL5-3,CL5,26.5,115.1074624,-34.39268854,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL5-4,CL5,25,115.1131454,-34.39092801,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL5-5,CL5,28,115.1136462,-34.39329959,Yes,Ngari Capes,No-take,Sanctuary,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL6-1,CL6,32,115.1216643,-34.40821409,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL6-2,CL6,30,115.1244732,-34.40657015,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL6-3,CL6,30,115.1201942,-34.40568083,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL6-4,CL6,25,115.1192142,-34.41039699,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL6-5,CL6,30,115.1176462,-34.40799851,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL7-1,CL7,30,115.1300592,-34.41611068,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL7-2,CL7,30.8,115.1293731,-34.41325405,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL7-3,CL7,33,115.1261716,-34.41524827,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL7-4,CL7,32.4,115.1333259,-34.41584121,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CL7-5,CL7,32.9,115.1295038,-34.41875174,Yes,Ngari Capes,Fished,General Use,Cape Leeuwin,"2009, 2010, 2013, 2015, 2019, 2022",
CNB1-1,CNB1,27,115.0230372,-33.51976899,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB1-2,CNB1,27,115.0236715,-33.5219378,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB1-3,CNB1,27,115.02525,-33.51880683,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB1-4,CNB1,27,115.0231664,-33.5174244,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB1-5,CNB1,27,115.0262672,-33.52142005,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB2-1,CNB2,27,115.0171863,-33.51998457,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB2-2,CNB2,28,115.0165264,-33.51535608,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB2-3,CNB2,21,115.0150528,-33.51850231,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB2-4,CNB2,27.5,115.018,-33.51829997,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB2-5,CNB2,30,115.0165,-33.51700002,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB3-1,CNB3,30,115.0065992,-33.51830014,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB3-2,CNB3,30,115.0055647,-33.52059083,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB3-3,CNB3,28,115.0069548,-33.52236947,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB3-4,CNB3,23.9,115.01,-33.52219999,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB3-5,CNB3,29,115.0086,-33.52009999,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB4-1,CNB4,38,114.9987109,-33.52209974,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
